City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,San Rafael,AR,68.92,clear sky,-34.6177,-68.3301,Hotel San Rafael
2,Bluff,NZ,56.03,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
3,Ponta Do Sol,PT,59.7,overcast clouds,32.6667,-17.1,Hotel do Campo
4,Ancud,CL,56.16,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
12,Sao Filipe,CV,69.44,clear sky,14.8961,-24.4956,Hotel Xaguate
14,Port Elizabeth,ZA,67.1,overcast clouds,-33.918,25.5701,39 On Nile Guest House
26,Hermanus,ZA,65.71,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
28,Mataura,NZ,57.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
37,Turayf,SA,52.25,scattered clouds,31.6725,38.6637,Turaif
46,Soni,TZ,61.54,broken clouds,-4.85,38.3667,Maweni Farm Hotel & Camping
48,Kasongo-Lunda,CD,69.21,light rain,-6.4667,16.8167,
54,Gisborne,NZ,65.07,scattered clouds,-38.6533,178.0042,ASURE Alfresco Motor Lodge
59,Bredasdorp,ZA,65.64,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
60,Constitucion,CL,60.31,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
71,Cape Town,ZA,65.23,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
76,Mar Del Plata,AR,56.88,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
85,Tateyama,JP,57.83,few clouds,34.9833,139.8667,Tateyama Seaside Hotel
97,Kumluca,TR,53.8,overcast clouds,36.3703,30.2869,TurkuazKöy
101,Wenling,CN,62.37,broken clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
102,Lebu,CL,57.87,clear sky,-37.6167,-73.65,Hostal Las Lilas
103,Puerto Penasco,MX,69.12,broken clouds,31.3167,-113.5333,Playa Bonita Resort
105,Awash,ET,68.58,light rain,8.9833,40.1667,Kediga hotel
114,Lagoa,PT,59.86,overcast clouds,39.05,-27.9833,Casa Das Faias
115,Castro,BR,65.91,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
121,Laguna,US,58.71,broken clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
122,Viedma,AR,58.23,scattered clouds,-40.8135,-62.9967,Hotel Cristal
129,Rio Gallegos,AR,52.38,overcast clouds,-51.6226,-69.2181,Hotel Santa Cruz
